StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15;Q16;Q17;Q18;Q19;Q20;Q11 - Parent Topics;Q11 - Topics;
Start Date;End Date;Response Type;IP Address;Progress;Duration (in seconds);Finished;Recorded Date;Response ID;Recipient Last Name;Recipient First Name;Recipient Email;External Data Reference;Location Latitude;Location Longitude;Distribution Channel;User Language;Statement of informed consent: I understand that the responses I provide in this experiment will be stored anonymously. I furthermore understand that I am free to terminate my participation in this experiment at any time. I am 18 years or older. By pressing Yes below I give my informed consent to store my responses anonymously.;The system is sincere;The system is likeable;The system is cold;The system is warm-hearted;I don't want to talk to the system again;I feel confident in using this system;I would be comfortable using the restaurant recommendations in real life;This dialog system seems trustworthy;This dialog system gives reliable recommendations;The system is friendly;The system is well-intentioned;The system is good-natured;Choose the picture that best describes your relationship with the dialog system.;ID:;What is your age?;What is your gender?;What is your nationality?;Is English your mother tongue?;Was your conversation?;Q11 - Parent Topics;Q11 - Topics;
"{""ImportId"":""startDate""";"timeZone:""America/Denver""}";"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}";"{""ImportId"":""status""}";"{""ImportId"":""ipAddress""}";"{""ImportId"":""progress""}";"{""ImportId"":""duration""}";"{""ImportId"":""finished""}";"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}";"{""ImportId"":""_recordId""}";"{""ImportId"":""recipientLastName""}";"{""ImportId"":""recipientFirstName""}";"{""ImportId"":""recipientEmail""}";"{""ImportId"":""externalDataReference""}";"{""ImportId"":""locationLatitude""}";"{""ImportId"":""locationLongitude""}";"{""ImportId"":""distributionChannel""}";"{""ImportId"":""userLanguage""}";"{""ImportId"":""QID2""}";"{""ImportId"":""QID3""}";"{""ImportId"":""QID5""}";"{""ImportId"":""QID6""}";"{""ImportId"":""QID8""}";"{""ImportId"":""QID9""}";"{""ImportId"":""QID17""}";"{""ImportId"":""QID18""}";"{""ImportId"":""QID19""}";"{""ImportId"":""QID20""}";"{""ImportId"":""QID23""}";"{""ImportId"":""QID25""}";"{""ImportId"":""QID26""}";"{""ImportId"":""QID16""}";"{""ImportId"":""QID22_TEXT""}";"{""ImportId"":""QID10_TEXT""}";"{""ImportId"":""QID12""}";"{""ImportId"":""QID11_TEXT""}";"{""ImportId"":""QID13""}";"{""ImportId"":""QID21""}";"{""ImportId"":""QID11_TEXT_0bbf568454374002a9a33edfParTopics""}";"{""ImportId"":""QID11_TEXT_0bbf568454374002a9a33edfTopics""}"
23/10/19 10:59;23/10/19 11:00;0;*******;100;101;1;23/10/19 11:00;R_3Ot8XeWid09Avhn;*******;*******;*******;*******;*******;*******;anonymous;EN;1;5;3;1;2;5;4;5;4;4;2;5;4;2;220;28;1;Dutch;2;1;;;
23/10/19 19:34;23/10/19 19:38;0;*******;100;263;1;23/10/19 19:38;R_1ilX4dYLnMq6ryW;*******;*******;*******;*******;*******;*******;anonymous;EN;1;5;5;5;4;5;5;4;5;5;5;5;5;3;2;26;2;China;2;1;;;
24/10/19 8:01;24/10/19 8:06;0;*******;100;343;1;24/10/19 8:07;R_RVu5jeh4jmovpuN;*******;*******;*******;*******;*******;*******;anonymous;EN;1;3;2;2;2;3;4;5;3;4;2;3;3;2;221;25;1;Spanish;2;2;;;
26/10/19 9:58;26/10/19 10:00;0;*******;100;128;1;26/10/19 10:00;R_2CQjvK2CfNPSNIy;*******;*******;*******;*******;*******;*******;anonymous;EN;1;5;2;2;2;5;4;4;4;5;3;4;4;2;301;27;1;Spanish;2;2;;;
28/10/19 5:49;28/10/19 5:54;0;*******;100;289;1;28/10/19 5:54;R_oXAAyN2ihT0B809;*******;*******;*******;*******;*******;*******;anonymous;EN;1;4;4;4;2;3;4;2;4;4;4;4;4;3;302;27;2;Spanish;2;1;;;
28/10/19 10:19;28/10/19 10:22;0;*******;100;192;1;28/10/19 10:22;R_3prmz3Sh2gJF0Jn;*******;*******;*******;*******;*******;*******;anonymous;EN;1;4;4;3;3;5;5;5;4;4;3;5;4;5;235;23;2;Spanish;2;1;;;
29/10/19 16:24;29/10/19 16:30;0;*******;100;341;1;29/10/19 16:30;R_11hhCxsQtYL5Ad5;*******;*******;*******;*******;*******;*******;anonymous;EN;1;4;3;3;4;5;3;4;4;4;4;5;4;5;303;56;2;Spanish;2;1;;;
31/10/19 10:19;31/10/19 10:31;0;*******;100;723;1;31/10/19 10:31;R_2wza8I1cF3KGDLU;*******;*******;*******;*******;*******;*******;anonymous;EN;1;4;4;2;2;4;5;4;5;5;4;4;4;3;250;23;1;italian;2;2;;;
31/10/19 11:30;31/10/19 11:42;0;*******;100;713;1;31/10/19 11:42;R_SK5XI6IPMSGt0EV;*******;*******;*******;*******;*******;*******;anonymous;EN;1;3;4;2;2;4;4;4;4;2;2;5;3;2;251;24;2;american ;1;2;;;
31/10/19 15:31;31/10/19 15:33;0;*******;100;112;1;31/10/19 15:33;R_2ylV0DlSOpEhV67;*******;*******;*******;*******;*******;*******;anonymous;EN;1;3;4;2;2;4;4;3;2;4;4;4;4;2;305;22;1;Spanish;2;1;;;
1/11/19 11:12;1/11/19 11:32;0;*******;100;1203;1;1/11/19 11:32;R_3OfeLTn0zyoKWOq;*******;*******;*******;*******;*******;*******;anonymous;EN;1;4;3;2;1;5;5;3;4;4;2;5;4;5;306;30;1;Spain;2;2;;;
2/11/19 11:48;2/11/19 11:52;0;*******;100;186;1;2/11/19 11:52;R_1lmiqOVMr5deIsG;*******;*******;*******;*******;*******;*******;anonymous;EN;1;5;4;2;3;5;4;4;4;4;2;4;4;2;307;56;2;spanish;2;1;;;
2/11/19 12:37;2/11/19 12:40;0;*******;100;135;1;2/11/19 12:40;R_vvNueb23g3HK4Rr;*******;*******;*******;*******;*******;*******;anonymous;EN;1;4;4;2;2;3;4;4;5;4;4;4;4;6;304;24;1;spanish;2;2;;;
2/11/19 14:05;2/11/19 14:09;0;*******;100;243;1;2/11/19 14:09;R_1C9CnL7zq0SUm55;*******;*******;*******;*******;*******;*******;anonymous;EN;1;4;4;2;2;4;4;4;4;3;4;4;3;1;308;54;2;spanish;2;2;;;
5/11/19 10:08;5/11/19 10:15;0;*******;100;456;1;5/11/19 10:15;R_TnrgjL2ieJF0qiJ;*******;*******;*******;*******;*******;*******;anonymous;EN;1;4;4;2;1;4;3;4;2;5;3;5;5;2;278;23;1;spanish;2;2;;;
